province_id,province_name,nearby_provinces
1,Montevideu,"2,14,15,116"
2,Colenia,"1,3,14,115"
3,Mercedes,"2,4,13,25,115"
4,Paysandu,"3,5,13,24"
5,Salto,"4,6,11,24,85"
6,Bella Union,"5,7,33,84"
7,Artigas,"6,8,32,33"
8,Cuchilla del Mataojo,"7,9,10,11,31"
9,Rivera,"8,10,18,29,30"
10,Tacuarembo,"8,9,11,12,18,23"
11,Cerro Grande,"5,8,10,13"
12,Duranzo,"10,13,14,16,23"
13,Trinidad,"3,4,11,12,14"
14,Canelones,"1,2,12,13,16"
15,Punta Del Este,"1,16,17,117"
16,Minas,"12,14,15,17,22"
17,Rocha,"15,16,21"
18,Meio,"9,10,19,28,29"
19,Treinta y tres,"18,20,22,23,28"
20,Punta Del Diablo,"19,21,22,26,118"
21,Castillos,"17,20,22,118"
22,Cerro Catedral,"16,19,20,21,23"
23,Cerro San Fracisco,"10,12,19,22"
24,Inner Urugay River,"4,5,25,85,88"
25,Ururgay River,"3,24,88,92,114"
26,Chuy,"20,27,126"
27,Rio Grande,"26,35,126,127"
28,Jaguarao,"18,19,29,37"
29,Bage,"9,18,28,30,37"
30,Dom Pedrito,"9,29,31,37,41"
31,Saint Ana do Livramento,"8,30,32,42"
32,Quarai,"7,31,34,42"
33,Barra do quiarai,"6,7,34,82"
34,Uruguaiana,"32,33,43,44,79"
35,Pelotas,"27,36,39,143"
36,Camqua,"35,39,144,145"
37,Cangaï¿½u,"28,29,30,40"
38,Eldorado do Sul,"39,45,51,59,60,145"
39,Encruzilhada do Sul,"35,36,38,40"
40,Cacapava do Sul,"37,39,41,45,47"
41,Sao Gabriel,"30,40,42,48"
42,Rosario Do Sul,"31,32,41,43,48"
43,Alegrete,"34,42,48,49"
44,Itaqui,"34,50"
45,Rio Pardo,"38,40,46,60"
46,Santa Cruz do Sul,"45,47,60,64,66"
47,Cachoerira do sul,"40,46,48,64"
48,sao Sepe,"41,42,43,47,49"
49,Santa Maria,"43,48,50,64"
50,Sao Borja,"44,49,74"
51,Canoas,"38,52,58,59,145"
52,Porto Alegre,"51,53,56,145"
53,Viamao,"52,54,56,144"
54,Palmares do Sul,"53,55,56,128,144"
55,Mostardas,"54,127,128,143"
56,Tramandai,"52,53,54,57,129"
57,Bom Jesus,"56,58"
58,Vacaria,"51,57,61"
59,Caxias Do Sul,"38,51,60,61"
60,Bento Goncalvez,"38,45,46,59,61,66"
61,Passo Fundo,"58,59,60,62"
62,Erechin,"61,65,66"
63,Santa Rosa,"64,65,66"
64,Cruz Alta,"46,47,49,63,66"
65,Tres Passos,"62,63,66,68"
66,Ijui,"46,60,62,63,64,65"
67,San Vicente,"68,71,74"
68,San Pedro,"65,67,69"
69,Eldorado,"68,71,70"
70,Comandante Adresito,"69"
71,Jardin America,"67,69,72"
72,Posadas,"71,73,75"
73,Corrientes,"72,76,112"
74,Santo Tome,"50,67,75"
75,Lomas De Vallejos,"72,74,76,77"
76,Bella Vista,"73,75,77,81,112"
77,Saladas,"75,76,78,80"
78,Verro Nazareno,"77,79"
79,Paso de los Libres,"34,78,82"
80,Mercedes,"77,81,82"
81,Goya,"76,80,83,112"
82,Curuzu Cuatia,"33,79,80,83,84"
83,Esquina,"81,82,84,86,112"
84,Monte Caseros,"6,82,83,85,86"
85,Chajari,"5,24,84,86,87,88"
86,San Jose de feliciano,"83,84,85,87,111"
87,La Paz,"85,86,89,90,111"
88,San Jose,"24,25,85,90,92"
89,Parana,"87,90,91,110"
90,Nogoya,"87,88,89,91"
91,Victoria,"89,90,92,109"
92,Gualeguaychu,"25,88,91,109"
93,Zarate,"109,114"
94,Buenos Aires,"106,109,113"
95,Campana,"108,109"
96,Quilmes,"97,120,122"
97,Chascomus,"96,104,106,122"
98,San Clemente Del Tuyu,"99,103,122,123"
99,Mar Del Plata,"98,100,103,123"
100,Necochea,"99,102,103,124"
101,Bahia Blanca,"102,125"
102,Tres Arroyos,"100,101,103,104,105"
103,San Jose Balcare,"98,99,100,102,104"
104,Tandil,"97,102,103,105,106"
105,Olavarria,"102,104,106,107"
106,Saladillo,"94,97,104,105,107"
107,Libertad,"105,106,108"
108,Lujan,"95,107"
109,Rio de la plata opening,"91,92,93,94,95,110,114"
110,Rio de la plata Parana,"89,109,111"
111,Inner Rio de la Plata,"110,86,87,112"
112,Rio de la plata Corrientes,"73,76,81,83,111"
113,Buenos Aires Area,"94,114,119"
114,La Plata point,"25,93,109,113"
115,Uruguay south coast,"2,3,116,119"
116,Montevideu Area,"1,115,117,121"
117,Uruguay South East Coast,"15,116,118,133,134"
118,Uruguay East Coast,"20,21,117,126,132"
119,La Plata,"113,115,121"
120,Quilmes Coast,"96,121,122"
121,Opening,"134,116,119,120"
122,Bahia de samborombo,"96,97,98,120,134"
123,Coast del Tuyu,"98,99,124,134,138"
124,sout of nechea coast,"139,100,123,125"
125,bahia falsa,"101,124,139"
126,Extreme south coast,"26,27,118,127,132"
127,Rio grande Opening,"27,55,126,128,132,143"
128,Rio Grande coast,"54,55,127,129,131"
129,Rio grande norht coast,"56,128,130"
130,,"129,131,135"
131,,"128,130,132,136"
132,,"118,126,127,131,133,136"
133,,"117,132,134,137"
134,,"121,117,122,123,133,138"
135,,"130,136,142"
136,,"131,132,135,137,141"
137,,"133,136,138,141"
138,,"123,134,137,139,140"
139,,"124,125,138,140"
140,,"138,139,141"
141,,"136,137,140,142"
142,,"135,141"
143,South Lagoa dos patos,"35,55,127,144"
144,Lagoa dos patos,"36,53,54,143,145"
145,Porto Alegre Area,"36,38,51,52,144"
