id,population
1,250000
2,30000
3,20000
4,30000
5,35000
6,10000
7,20000
8,15000
9,25000
10,20000
11,15000
12,20000
13,15000
14,70000
15,25000
16,20000
17,25000
18,15000
19,20000
20,15000
21,20000
22,15000
23,15000
24,0
25,0
26,10000
27,20000
28,15000
29,20000
30,10000
31,15000
32,10000
33,10000
34,20000
35,30000
36,15000
37,10000
38,15000
39,10000
40,10000
41,10000
42,15000
43,20000
44,15000
45,10000
46,15000
47,15000
48,10000
49,20000
50,15000
51,15000
52,70000
53,15000
54,10000
55,10000
56,10000
57,10000
58,10000
59,15000
60,10000
61,15000
62,10000
63,10000
64,15000
65,10000
66,15000
67,10000
68,10000
69,10000
70,10000
71,15000
72,20000
73,30000
74,15000
75,10000
76,15000
77,10000
78,10000
79,15000
80,10000
81,15000
82,10000
83,15000
84,10000
85,15000
86,10000
87,15000
88,15000
89,20000
90,10000
91,15000
92,15000
93,20000
94,400000
95,20000
96,20000
97,15000
98,10000
99,20000
100,15000
101,15000
102,10000
103,10000
104,15000
105,10000
106,15000
107,15000
108,15000
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
