province_id,center_x,center_y
1,6676.390256,-7291.966043
2,6601.483832,-7240.260736
3,6561.666802,-7195.654528
4,6559.519743,-7106.702322
5,6586.885410,-7020.901982
6,6595.022960,-6939.926127
7,6663.527096,-6950.911881
8,6698.213447,-7007.875346
9,6785.464136,-7016.585134
10,6751.488187,-7089.850300
11,6651.930129,-7055.348921
12,6688.736961,-7165.554956
13,6631.701115,-7144.527077
14,6658.284231,-7219.900494
15,6750.279463,-7286.574089
16,6736.152133,-7233.155567
17,6818.740034,-7275.308761
18,6845.553894,-7078.658195
19,6839.404282,-7127.918688
20,6892.940910,-7174.726304
21,6863.728988,-7213.384927
22,6815.376485,-7187.100191
23,6762.965815,-7135.889469
24,6530.455372,-7120.435692
25,6514.478524,-7177.447823
26,6943.552584,-7138.377401
27,6965.809067,-7075.112907
28,6907.285263,-7073.685056
29,6847.781719,-7008.453041
30,6815.998267,-6966.357105
31,6768.335963,-6946.492474
32,6727.486348,-6913.523980
33,6632.738757,-6891.302246
34,6676.895235,-6847.548564
35,6970.222815,-7005.199134
36,7032.280117,-6942.678388
37,6896.027706,-6986.672425
38,6999.238482,-6884.312872
39,6986.940890,-6936.936503
40,6897.951623,-6913.084888
41,6829.608563,-6914.667497
42,6782.395296,-6892.764563
43,6746.504459,-6831.378124
44,6699.675182,-6791.208010
45,6937.109705,-6865.583709
46,6892.317244,-6823.189662
47,6859.978765,-6859.431004
48,6804.655542,-6859.256128
49,6789.507716,-6813.632633
50,6751.179505,-6741.227735
51,7051.926475,-6846.399915
52,7088.490309,-6862.673192
53,7107.797196,-6900.368432
54,7115.511371,-6955.162543
55,7038.130192,-7031.975391
56,7155.032606,-6865.398198
57,7160.470967,-6807.447868
58,7101.768806,-6766.535035
59,7010.454296,-6827.931499
60,6948.505060,-6810.296920
61,7023.132284,-6737.606287
62,6953.714584,-6717.062165
63,6808.642564,-6729.026588
64,6825.938289,-6799.852660
65,6867.403954,-6686.951202
66,6881.616997,-6758.341652
67,6802.320029,-6652.588388
68,6858.652051,-6621.708523
69,6851.371640,-6542.316650
70,6875.899002,-6473.542778
71,6785.900678,-6571.648811
72,6688.231849,-6605.294309
73,6573.567801,-6611.669769
74,6732.477724,-6700.376616
75,6686.678039,-6656.008752
76,6565.102643,-6661.052686
77,6600.840327,-6701.813056
78,6668.362331,-6735.234612
79,6633.502638,-6797.525620
80,6574.905343,-6759.769623
81,6491.218372,-6767.443435
82,6582.587270,-6825.291592
83,6476.245958,-6837.039096
84,6547.408320,-6909.670111
85,6523.631408,-6993.982849
86,6474.964502,-6928.453312
87,6424.059375,-6993.379201
88,6502.606110,-7104.478739
89,6369.357486,-7082.579373
90,6435.809681,-7089.764654
91,6419.268717,-7153.150581
92,6484.934154,-7183.348690
93,6490.681169,-7242.397936
94,6487.848612,-7282.956929
95,6401.265923,-7222.981110
96,6568.345167,-7339.248527
97,6540.674742,-7376.721089
98,6601.849224,-7465.317159
99,6551.979151,-7569.155233
100,6407.997757,-7620.848537
101,6244.649585,-7674.349432
102,6314.363442,-7552.537022
103,6489.631361,-7508.209712
104,6458.950792,-7436.934446
105,6315.955101,-7432.742283
106,6431.017884,-7366.212804
107,6360.174559,-7333.122082
108,6373.587864,-7274.858870
109,6435.925919,-7211.633163
110,6336.730474,-7095.987451
111,6395.710043,-6974.304231
112,6475.021775,-6720.067803
113,6522.617972,-7277.545277
114,6510.219504,-7244.806022
115,6580.588610,-7273.559578
116,6646.350537,-7311.281478
117,6830.440947,-7308.326990
118,6923.187201,-7233.924254
119,6537.000683,-7270.050482
120,6590.901373,-7326.252388
121,6613.452944,-7325.367192
122,6610.018204,-7407.425053
123,6611.749166,-7538.269694
124,6442.688495,-7675.326064
125,6262.116274,-7701.279367
126,6972.106102,-7133.990472
127,6990.987277,-7060.925769
128,7110.197646,-7016.782607
129,7205.066291,-6865.955464
130,7286.259487,-6923.909326
131,7143.327257,-7057.990848
132,6996.322090,-7185.728700
133,6874.338878,-7344.652865
134,6727.543027,-7421.268998
135,7443.919353,-7110.643027
136,7155.158811,-7354.592002
137,6989.757224,-7528.017854
138,6739.815528,-7637.941540
139,6402.273731,-7800.972323
140,6714.671839,-8035.806941
141,7251.789051,-7774.170677
142,7777.887025,-7320.121566
143,7014.662541,-7023.305038
144,7089.622296,-6945.690228
145,7065.232908,-6877.465391
